2026/01/26 20:55:12 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:13 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:14 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:15 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:17 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:19 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:23 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:30 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:55:44 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:56:11 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:04 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:22 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:23 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:24 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:25 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:26 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/01/26 20:57:28 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:51 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:53 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:55 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:56 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:54:58 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/07 12:55:00 [emerg] 1#1: unknown log format escaping "jsonl" in /etc/nginx/nginx.conf:29
2026/02/08 17:01:15 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:02:20 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:03:26 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:04:32 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:05:39 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:06:45 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:07:51 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:08:57 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:10:02 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:11:08 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:12:15 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:13:21 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:14:27 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:15:34 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:16:40 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:17:47 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:18:52 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:19:58 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:21:04 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:22:11 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:23:17 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:24:23 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:25:29 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/08 17:26:34 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:40:17 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:40:27 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:40:37 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:40:46 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:40:56 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
2026/02/10 16:41:06 [emerg] 1#1: host not found in upstream "dvwa:80" in /etc/nginx/conf.d/default.conf:8
